24.75;24.25;24.75;26.50;26.50;25.00;25.00;24.50;25.25;24.25;25.75;33.25;32.75;25.75;24.75;24.50;24.75;25.00;26.50;39.00;37.75;26.25;24.75;24.00;24.50;24.25;26.75;40.50;38.50;25.75;24.75;24.00;24.50;24.75;27.50;41.00;38.00;25.50;24.50;23.75;23.75;24.25;26.00;38.25;33.25;25.00;23.50;23.75;23.75;23.00;25.00;31.50;27.50;24.00;23.25;22.25;23.00;23.50;24.00;24.00;23.75;23.25;23.25;22.50
25.00;24.00;25.00;26.00;26.50;25.00;24.75;24.25;24.50;24.75;25.25;33.25;32.75;25.50;24.50;24.50;24.50;24.50;26.50;39.50;37.75;26.00;25.00;24.25;24.25;24.50;26.50;40.50;38.00;25.75;24.50;24.00;24.25;24.75;27.25;41.50;38.00;25.75;24.50;23.00;23.50;24.50;26.00;38.25;33.50;24.75;23.75;23.50;23.75;23.50;24.25;31.75;27.00;24.00;23.50;22.50;23.50;23.25;24.00;24.00;23.75;22.75;23.25;23.25
25.00;24.25;24.75;26.25;26.50;25.00;25.00;23.75;24.50;24.75;25.75;33.25;32.25;25.75;24.75;24.00;24.50;25.00;26.25;39.00;37.50;25.50;24.75;23.75;24.50;24.25;26.50;40.75;37.75;25.75;24.50;24.00;24.50;24.75;27.25;41.25;38.00;25.75;24.75;23.75;23.75;24.50;26.25;38.50;33.75;24.50;23.50;23.50;23.25;23.25;24.25;31.50;27.00;24.00;23.50;22.50;23.00;23.75;23.25;24.25;23.75;23.00;23.50;23.00
25.00;24.25;25.25;25.75;26.25;25.00;25.50;24.50;24.50;25.00;25.75;33.50;32.75;25.50;24.50;24.50;25.00;24.75;26.50;39.00;37.25;26.00;24.25;24.00;24.00;24.75;27.00;40.75;38.25;25.75;24.25;23.50;24.25;24.50;27.00;41.00;38.00;25.25;24.50;23.25;24.00;24.50;25.50;38.75;33.00;25.00;23.75;23.50;23.50;23.75;24.75;31.50;27.50;24.25;23.00;22.50;23.00;23.00;23.50;24.00;23.75;23.00;23.00;22.75
25.00;24.50;25.25;26.50;26.25;25.00;24.75;24.50;24.75;24.25;25.75;33.25;32.75;25.00;24.50;24.50;24.25;25.00;26.50;39.25;37.50;25.75;25.00;24.00;23.75;24.75;26.75;40.50;37.75;25.75;24.50;23.50;24.75;24.75;27.00;41.25;37.75;25.50;24.00;23.00;24.25;24.25;25.75;38.50;33.50;24.75;23.75;23.75;23.75;23.75;24.25;32.00;27.00;24.00;22.50;22.75;23.25;23.00;23.25;23.75;23.50;22.50;22.75;22.50
24.50;24.25;25.00;26.25;26.00;25.00;24.75;24.75;24.50;24.75;25.75;33.25;32.25;25.75;24.75;24.25;24.25;24.75;26.50;39.00;37.25;26.00;24.75;24.25;24.25;25.25;26.50;40.00;38.00;25.75;24.50;24.00;24.50;24.50;27.25;41.50;37.75;25.25;24.25;23.50;24.00;24.00;26.00;38.25;33.50;25.00;23.25;24.00;23.25;23.50;24.00;31.25;27.25;24.00;23.25;22.50;23.75;23.50;24.00;24.25;23.75;23.00;23.25;22.50
24.50;24.75;25.25;26.75;26.50;25.25;25.25;25.25;25.25;24.25;25.75;33.50;32.50;25.50;24.75;25.00;24.50;25.00;26.50;39.00;37.75;26.00;25.00;24.00;24.50;24.75;26.75;40.25;38.00;26.00;24.75;24.25;24.00;25.25;27.50;41.25;38.00;26.00;24.75;23.75;24.75;24.00;26.50;38.50;33.50;24.75;23.50;24.00;23.50;23.75;24.75;31.50;27.25;23.75;23.50;22.50;23.25;23.50;24.00;24.00;23.75;23.00;23.50;23.25
24.75;24.25;25.00;26.25;26.75;25.25;25.25;24.75;24.75;24.75;26.00;33.50;32.75;26.00;24.25;25.00;25.00;24.50;26.25;39.25;37.75;26.00;24.75;24.75;24.50;25.00;26.50;40.75;38.25;25.75;24.50;24.25;24.75;25.00;27.25;41.75;38.00;25.25;24.25;24.00;24.25;24.50;26.00;38.75;33.75;25.00;23.75;24.25;23.75;23.75;24.50;31.75;27.75;24.50;23.50;23.00;23.50;23.75;24.00;24.25;24.50;23.25;23.50;23.25
25.00;24.50;25.25;26.75;26.50;25.25;25.00;24.75;25.00;24.25;25.75;33.25;33.00;26.00;24.50;24.75;24.50;25.00;26.50;39.25;37.50;25.75;24.50;24.00;24.50;25.00;26.75;40.75;38.00;26.00;24.50;24.25;24.50;24.75;27.50;41.25;38.00;25.25;24.25;23.75;24.25;24.25;26.50;38.25;33.75;24.50;23.50;23.25;23.25;23.50;24.75;31.75;27.25;24.00;24.00;23.00;23.25;23.50;24.25;24.50;23.50;23.50;23.50;23.50
25.00;24.50;25.00;26.25;26.50;25.00;25.00;24.50;24.75;25.00;25.50;33.50;32.50;26.00;24.75;24.25;24.50;25.00;26.50;39.25;38.00;26.25;25.25;24.25;24.25;25.00;26.50;40.50;37.75;26.00;24.25;24.00;25.00;25.00;26.75;41.50;38.00;25.50;24.00;23.50;24.25;24.75;26.25;38.50;33.50;25.00;24.00;23.75;23.50;23.75;24.25;31.50;27.75;24.00;23.75;22.50;23.50;23.50;24.00;24.25;23.75;23.50;23.50;23.00
25.25;24.25;25.00;26.25;26.50;25.25;25.50;25.25;24.50;24.75;25.75;33.50;32.50;25.50;25.00;24.75;24.75;25.00;26.25;39.25;37.50;26.00;25.00;24.75;24.75;24.75;26.75;40.75;38.25;26.00;24.50;24.00;24.50;25.00;27.50;41.50;38.00;25.50;24.25;24.00;24.25;24.50;26.00;38.50;33.50;24.50;23.75;23.75;23.75;23.50;24.75;31.50;27.50;24.25;23.75;23.50;23.25;23.75;23.75;24.50;24.00;23.00;23.75;23.25
24.50;24.25;25.25;26.75;26.50;25.25;25.00;24.75;25.00;24.75;26.25;33.50;32.50;25.50;24.75;25.00;24.75;25.00;26.50;39.25;37.75;26.00;25.25;24.25;24.25;24.75;26.75;40.50;38.00;26.00;24.50;24.00;24.50;24.50;27.00;41.50;38.00;25.75;24.50;23.75;24.50;24.75;26.00;38.50;33.50;24.75;23.75;24.00;23.75;23.25;24.50;31.75;27.50;24.00;23.25;22.75;23.25;23.50;23.50;24.25;24.25;23.50;23.25;22.75
25.25;24.50;25.50;26.50;26.75;25.25;25.25;24.50;25.50;24.50;25.75;33.75;33.00;25.75;24.75;25.25;25.00;24.75;26.50;39.00;37.75;26.25;25.00;24.75;24.50;24.75;26.75;40.25;38.00;25.75;24.50;24.00;25.00;25.00;27.50;41.50;37.75;25.75;24.50;23.50;24.50;24.50;26.25;38.75;33.75;25.00;24.00;23.75;23.50;23.50;24.75;32.25;27.50;24.00;23.75;23.00;24.00;23.50;24.25;24.75;24.00;23.50;23.50;23.00
25.25;24.75;25.25;26.75;26.25;25.25;25.25;24.75;25.00;25.00;26.00;33.50;32.50;25.75;24.75;24.50;24.50;25.00;26.50;39.25;37.75;25.75;25.00;24.50;25.00;25.00;27.00;40.75;38.50;25.75;24.50;24.50;24.75;25.50;27.50;41.25;38.50;25.50;24.75;23.50;24.25;24.00;26.00;38.50;33.75;24.75;24.00;24.00;24.00;23.75;24.50;31.50;27.50;24.25;23.75;22.25;23.75;24.25;24.50;24.50;24.00;23.50;23.50;23.50
25.25;25.00;25.00;27.00;26.75;25.50;25.75;25.25;25.00;25.00;25.75;33.25;32.75;26.00;24.50;25.25;25.00;24.75;26.75;39.00;37.75;26.00;25.00;24.00;24.75;25.00;26.75;40.75;38.25;26.00;24.75;24.00;25.00;25.00;27.50;41.50;38.00;26.00;24.50;23.50;24.50;24.25;26.00;38.25;34.00;24.50;23.75;24.00;24.25;24.00;25.00;31.50;28.00;24.25;23.75;23.25;23.50;24.00;24.25;24.25;24.00;23.00;23.50;23.25
25.00;24.50;25.25;26.75;26.50;25.25;25.25;25.25;25.25;25.00;26.00;33.50;32.75;25.50;24.75;25.00;24.75;25.00;26.50;39.00;37.75;26.00;25.25;24.25;24.25;25.00;26.75;40.75;38.50;25.50;24.75;24.00;25.00;25.00;27.25;42.00;38.25;25.75;24.50;23.75;24.50;24.75;26.25;38.75;33.75;25.00;24.00;23.50;23.75;23.50;24.50;31.75;27.75;24.25;23.25;23.00;23.50;24.00;24.00;24.25;24.00;22.75;23.75;23.00
25.00;24.75;25.25;26.50;26.50;25.00;25.00;24.50;25.00;24.75;26.00;33.50;32.50;25.75;25.00;25.00;25.00;25.25;26.75;39.50;38.00;26.00;25.00;24.25;24.50;24.75;26.75;40.75;38.00;25.75;24.50;23.75;24.25;25.00;27.50;41.50;37.75;25.75;24.50;23.75;24.00;24.25;26.25;38.75;33.75;25.00;24.50;24.00;24.50;23.25;24.25;31.50;27.75;24.00;23.75;23.00;23.25;23.50;24.00;24.50;24.00;23.00;23.50;23.25
24.75;24.75;25.25;27.00;26.75;25.25;25.00;24.50;25.25;24.50;26.00;33.50;32.75;25.75;24.75;24.50;25.00;25.25;26.75;39.25;38.00;26.25;25.25;24.75;25.00;25.00;27.00;40.75;38.00;26.00;25.00;24.50;25.00;25.00;27.00;41.00;38.25;25.75;24.25;23.75;24.75;24.75;26.25;39.00;34.00;25.25;23.75;24.25;23.75;23.75;25.00;31.75;27.50;24.75;23.50;22.75;24.00;24.25;24.00;25.00;24.25;23.25;23.50;23.50
25.25;24.50;25.00;26.50;26.50;25.00;24.75;24.50;24.75;24.75;26.00;33.50;32.50;25.25;24.75;25.00;24.50;25.00;26.75;39.00;37.50;26.00;25.25;24.75;24.75;24.75;26.75;40.25;38.50;25.75;24.50;24.25;25.00;25.00;27.50;41.50;38.00;25.75;24.00;23.75;24.25;24.75;26.25;38.75;33.75;25.25;23.75;24.50;24.00;23.50;25.00;31.75;27.75;24.50;23.75;23.75;23.00;24.00;23.75;24.25;24.00;23.00;23.25;23.00
25.00;24.25;25.50;26.75;26.50;24.75;25.50;24.75;25.00;24.50;26.00;33.50;32.75;25.50;24.75;25.25;24.75;24.75;26.75;39.25;37.50;26.25;24.50;24.50;25.00;24.50;26.50;40.50;38.25;26.00;24.50;24.00;25.00;25.00;27.25;41.25;38.00;25.50;24.00;23.50;24.50;24.25;26.25;39.00;34.00;24.75;23.75;24.00;24.00;24.50;24.50;31.75;27.25;24.00;23.25;23.00;23.50;23.25;24.25;24.75;24.50;23.00;23.25;23.25
25.00;24.50;25.00;26.75;26.50;24.75;25.25;24.25;25.50;24.75;26.00;33.25;33.00;25.75;25.50;25.00;24.75;25.00;26.50;39.25;38.00;26.25;25.25;24.25;24.50;25.00;27.00;40.25;38.25;26.25;24.50;24.00;24.50;24.75;27.25;41.75;38.25;25.75;24.50;23.75;24.25;24.25;26.25;38.50;33.50;25.00;24.00;23.75;23.75;23.75;24.75;31.75;28.00;24.25;23.50;22.50;23.75;23.75;24.00;24.25;24.00;23.50;23.25;23.25
25.25;24.75;25.25;26.75;26.75;25.50;25.00;24.75;25.50;24.50;26.25;33.50;33.00;25.75;25.00;24.25;24.75;25.00;26.75;38.75;37.50;26.00;25.00;25.00;24.50;24.75;27.00;40.75;38.25;26.00;24.75;24.25;24.75;25.00;27.25;41.50;38.25;25.75;24.25;23.75;24.00;24.25;26.25;38.25;33.25;25.00;24.00;24.00;23.75;23.75;24.75;32.00;27.75;24.25;23.75;23.00;23.25;23.25;23.75;24.25;23.75;23.50;23.25;23.50
25.00;25.00;25.25;26.75;26.75;25.25;25.00;25.00;25.00;25.00;26.25;33.75;33.00;26.00;25.00;24.75;25.00;25.25;26.25;39.00;37.75;26.50;25.25;24.25;24.75;25.00;27.00;40.50;38.25;26.25;24.75;24.50;24.75;25.50;27.00;41.50;37.75;25.75;24.75;23.75;24.50;24.75;26.25;38.50;33.50;25.00;24.25;24.75;23.75;24.00;24.50;31.75;27.50;24.50;23.50;23.00;24.25;23.75;23.75;24.50;23.75;23.50;24.00;23.50
25.50;24.75;25.25;26.75;26.50;25.50;25.25;25.00;25.00;25.00;25.75;33.75;33.00;25.75;25.00;25.00;25.25;25.00;26.75;39.50;38.00;26.25;25.25;24.75;24.50;24.75;27.25;40.75;38.25;26.00;24.50;24.00;25.00;25.25;27.25;41.25;37.75;26.25;25.00;23.75;24.50;24.75;26.50;38.50;34.00;24.75;24.25;24.25;24.00;23.75;24.25;31.50;27.75;24.00;23.75;22.50;23.75;24.00;24.00;24.00;24.50;23.75;23.75;23.25
25.00;24.75;25.50;26.50;26.75;25.00;25.50;25.00;25.00;25.00;26.00;33.75;33.00;25.50;25.00;24.75;24.75;25.00;26.50;39.50;38.25;26.50;25.25;24.75;25.00;24.75;27.00;40.50;38.25;26.25;24.75;24.25;25.00;25.00;27.25;41.50;38.25;26.25;24.75;24.00;24.50;24.50;26.25;38.50;34.00;25.00;24.00;23.75;24.00;23.50;24.75;31.50;27.50;24.25;23.75;23.00;24.00;24.50;23.75;24.75;24.50;23.25;23.50;23.75
25.25;24.50;25.50;26.75;26.50;25.25;25.50;25.50;24.75;25.00;26.00;33.50;33.25;26.00;25.00;24.75;24.75;25.75;27.00;39.50;38.00;26.50;24.75;24.75;24.75;25.00;27.00;40.50;38.25;25.75;25.00;24.25;24.75;25.25;27.50;41.25;38.25;26.00;24.75;24.00;24.25;25.00;26.25;38.75;34.00;25.00;24.25;24.00;23.75;23.75;24.75;32.25;28.00;24.50;24.00;23.25;24.00;24.25;24.00;24.25;24.50;24.00;23.50;23.25
25.25;25.00;25.25;26.25;26.50;25.50;25.25;25.25;24.75;25.25;26.25;33.50;33.00;25.50;25.25;24.75;24.75;25.25;26.50;39.25;38.00;26.25;25.25;24.50;24.50;25.00;27.00;40.50;38.25;26.00;25.00;24.25;24.75;25.25;27.25;41.50;38.00;25.75;24.75;24.25;24.25;24.75;26.75;38.50;33.75;25.25;24.50;24.25;24.00;23.75;24.50;31.75;28.00;24.75;23.50;23.00;23.25;24.00;24.00;24.25;23.75;23.75;23.25;22.75
25.00;24.75;25.50;26.50;26.75;25.25;25.50;25.00;25.25;24.50;25.50;33.50;32.50;26.00;25.00;25.00;24.75;25.25;26.50;39.25;37.75;26.25;25.25;24.50;25.00;25.00;26.75;40.50;38.00;26.00;24.75;24.00;25.25;25.25;27.25;41.50;38.00;26.00;24.75;24.00;24.50;25.00;26.25;39.25;33.50;25.00;24.25;24.25;24.25;24.25;24.25;31.75;27.75;24.25;23.00;23.25;23.50;24.00;23.50;24.00;24.25;23.25;24.00;23.50
25.00;24.75;25.25;26.75;26.50;25.25;25.25;24.75;24.75;24.50;26.00;33.25;32.50;25.50;24.50;24.75;24.75;25.00;26.75;39.00;37.75;26.00;25.00;24.75;24.50;24.50;26.75;40.75;38.00;26.00;24.75;24.25;24.50;24.75;27.25;41.75;38.00;25.50;24.75;23.50;24.00;24.50;26.00;38.75;33.50;25.25;24.25;24.25;24.25;23.75;24.50;32.00;27.75;24.25;23.75;23.00;24.25;23.75;24.50;24.25;24.50;23.25;24.00;23.25
24.75;25.00;25.50;26.50;26.50;25.00;25.00;25.00;25.25;25.00;25.75;33.50;33.00;26.00;25.00;24.50;25.00;25.00;26.25;39.25;37.50;26.25;25.00;24.50;24.75;24.50;27.00;40.75;38.25;26.00;24.75;24.25;24.50;25.25;27.00;41.75;38.00;25.50;24.75;23.50;24.50;24.25;26.25;38.25;33.50;24.75;23.25;24.00;23.50;23.75;24.75;31.75;27.75;24.25;23.75;23.00;23.50;23.75;24.00;24.50;24.25;23.75;23.25;23.50
25.00;24.50;25.00;26.25;27.00;25.00;25.25;24.50;25.25;24.75;26.00;33.50;32.75;25.75;25.00;24.50;25.00;25.25;26.50;39.00;37.75;26.25;24.75;24.25;25.00;24.75;26.75;40.75;38.00;26.00;24.75;24.50;25.00;25.25;27.25;41.25;38.25;25.75;25.00;23.75;24.50;24.25;26.25;38.75;33.75;24.75;24.25;23.75;23.50;23.75;24.50;31.50;27.50;24.25;23.50;22.75;23.50;24.00;24.00;24.25;24.25;23.75;23.00;23.25
24.75;24.50;25.25;26.00;26.25;25.25;25.00;25.00;24.75;25.00;25.75;33.25;32.75;25.50;25.00;24.75;24.75;25.25;26.75;39.00;38.00;26.50;25.00;24.00;25.00;25.00;27.00;40.75;38.25;25.75;25.00;23.75;24.75;25.00;27.25;41.75;38.25;25.50;24.25;23.75;24.50;24.25;26.25;38.50;34.00;25.00;24.00;23.75;24.25;24.00;24.50;31.75;28.00;24.75;23.50;23.00;23.50;23.75;24.25;24.75;23.75;23.25;23.50;23.25
25.25;24.50;25.25;26.50;26.50;25.00;25.25;25.25;25.00;25.00;26.50;33.25;32.75;26.00;24.75;25.00;24.75;25.25;26.75;39.00;37.75;26.00;25.25;24.75;24.25;25.25;26.75;40.50;38.25;26.00;24.75;24.25;24.50;25.25;27.50;41.25;38.25;25.75;24.50;23.25;24.00;24.50;26.25;38.50;33.75;24.75;23.75;24.25;24.00;23.75;24.50;31.75;28.00;24.25;23.50;23.25;23.50;24.00;24.00;24.50;24.25;24.00;23.75;23.00
25.00;24.75;25.25;27.00;26.25;25.00;25.00;25.00;25.25;25.00;25.50;33.25;32.75;25.75;24.75;25.25;24.75;25.00;26.75;39.00;37.75;26.25;25.25;24.50;24.50;24.75;26.75;40.50;38.25;25.75;24.50;24.50;25.00;25.00;27.25;41.50;37.75;25.75;24.75;23.75;24.75;24.50;26.25;38.50;33.75;25.00;23.75;24.00;23.50;23.25;24.75;32.00;27.75;24.25;23.75;23.25;23.25;24.00;23.75;24.50;24.00;23.50;23.50;23.75
24.75;24.50;25.25;26.75;26.75;25.00;25.00;24.50;24.75;24.50;26.25;33.25;32.75;25.50;25.00;24.25;24.75;25.25;26.25;39.00;38.00;26.50;25.25;24.25;24.75;24.75;26.75;40.50;38.00;26.00;24.75;24.25;24.50;25.00;27.25;41.25;37.50;25.75;24.50;23.75;24.75;24.50;26.50;38.50;34.00;24.50;24.00;23.75;23.50;23.50;24.50;31.75;27.75;24.50;24.00;23.25;23.50;23.75;24.00;24.50;24.25;23.25;23.50;22.75
25.25;24.75;25.25;26.00;26.25;24.75;25.00;25.00;25.25;25.00;25.50;33.50;32.50;26.25;24.75;24.75;24.75;25.25;26.50;38.75;37.75;26.00;25.00;24.25;24.75;24.50;27.00;40.25;37.75;26.00;24.75;24.00;24.75;24.75;27.25;41.25;37.75;26.00;24.25;23.75;24.25;24.25;26.50;38.75;33.75;24.75;24.00;24.00;24.00;23.75;24.75;32.00;27.50;24.25;23.75;22.75;23.75;24.00;24.00;24.25;24.25;22.75;23.75;23.00
24.50;24.50;24.75;26.50;26.75;25.00;24.50;24.25;25.25;24.50;25.75;33.25;32.50;25.50;24.25;24.00;24.50;25.00;26.50;39.25;37.75;26.25;24.75;24.25;24.50;24.75;26.50;40.25;38.00;25.75;24.25;24.25;24.75;24.75;27.50;41.25;38.00;25.75;24.50;24.00;24.25;24.75;25.75;38.50;33.50;24.75;23.50;23.75;23.50;23.75;24.25;31.75;27.50;24.00;23.25;23.00;23.25;24.00;24.25;24.25;24.25;23.25;23.75;23.00
25.25;24.75;25.50;26.75;26.50;25.00;25.25;24.50;25.00;24.50;25.75;33.25;33.00;25.50;25.00;24.75;25.00;25.25;26.50;39.25;37.75;26.25;25.25;23.75;24.50;24.75;26.75;40.50;38.25;26.25;24.50;24.25;24.50;25.00;27.00;41.25;38.00;25.50;24.75;24.00;24.50;25.00;26.25;38.75;33.50;24.75;23.75;24.00;23.75;23.50;24.25;31.50;27.50;23.75;22.75;22.75;23.00;24.00;23.75;24.25;24.25;23.50;23.50;23.25
25.25;24.50;25.50;26.25;26.75;25.00;25.25;25.00;25.00;25.25;25.50;33.50;32.25;25.50;25.00;25.50;25.00;25.00;26.50;39.50;37.50;26.00;25.25;24.25;24.50;24.50;26.75;40.50;38.00;26.25;24.75;24.00;24.75;24.75;27.25;41.25;37.75;26.00;24.50;24.00;24.50;24.00;26.25;38.75;33.50;24.50;23.75;23.75;23.50;24.25;24.75;31.75;27.25;24.25;23.50;22.75;23.50;23.25;23.75;24.50;24.50;23.50;23.50;23.25
25.00;24.25;25.00;26.50;26.50;24.75;25.25;25.00;25.00;25.00;25.75;33.25;32.25;25.50;24.50;24.75;24.50;25.00;26.25;38.75;37.50;26.50;24.75;24.50;24.75;24.50;26.50;40.25;38.00;26.00;24.50;24.50;24.75;24.75;27.25;41.25;38.00;25.50;24.50;23.00;23.75;24.50;26.00;38.50;33.75;24.50;24.00;23.75;24.25;24.00;24.75;31.50;27.50;24.25;23.75;23.25;23.50;23.50;23.75;24.25;24.00;23.50;23.50;23.25
25.00;24.25;24.50;26.25;26.50;25.00;25.50;25.00;24.75;24.75;25.75;33.50;32.50;25.50;25.00;24.75;24.75;24.50;26.75;38.75;37.25;25.50;24.75;24.50;25.00;24.75;26.50;40.25;38.00;25.75;24.75;23.75;24.75;25.00;27.00;41.25;38.00;26.00;24.50;23.50;23.50;24.50;26.25;38.75;33.75;25.00;23.75;23.75;23.75;23.75;24.75;32.00;27.75;24.00;23.50;23.50;23.75;23.50;24.75;24.00;23.75;23.50;23.75;23.00
25.25;24.50;25.25;26.00;26.50;25.00;25.00;24.75;25.00;24.75;25.75;33.75;32.75;25.50;24.75;24.50;24.75;25.00;26.25;39.00;37.75;26.00;25.00;24.25;24.50;24.75;26.50;40.50;38.00;26.00;24.50;23.75;24.75;25.25;27.50;41.50;38.25;25.50;24.25;23.50;24.50;25.00;26.50;38.75;33.75;24.50;24.25;24.00;23.50;23.75;24.50;31.75;27.50;24.00;23.50;23.25;24.25;23.25;23.75;23.50;24.00;23.00;23.50;23.50
25.00;24.25;25.25;27.00;26.75;25.00;25.00;25.25;25.00;24.50;26.00;33.75;32.50;26.00;24.50;24.75;24.50;24.75;26.75;39.25;37.75;26.25;25.25;24.50;24.75;24.50;26.25;40.50;38.00;25.50;24.50;24.00;24.25;24.75;27.25;41.25;38.00;25.50;24.75;23.25;24.75;24.50;26.50;38.50;34.00;24.75;24.25;23.75;23.75;24.00;24.50;32.00;28.00;24.00;23.25;22.75;23.50;23.75;24.25;24.00;24.00;23.25;23.00;23.25
24.75;23.75;25.00;26.00;26.50;25.00;25.25;24.50;25.25;25.00;25.75;33.50;32.50;25.50;25.00;24.75;24.75;24.75;26.50;39.50;37.25;26.25;24.75;24.25;24.50;25.25;26.75;40.50;38.25;26.00;24.75;24.00;24.25;24.75;27.00;41.25;38.00;25.50;24.50;24.00;24.50;24.25;25.75;38.50;33.75;25.00;24.00;24.25;24.00;23.75;24.50;31.75;27.25;24.00;23.25;23.00;23.50;23.75;24.00;24.25;24.25;23.25;22.75;23.25
